Blog	web	lol	ryan	de	band	album	jesus	mommy	grant	haha	christ	hannah	data	daddy	lord	pics	james	tour	social	digital	mix	students	china	records	library	thankful	site	english	chinese	pray	damn	record	language	club	content	bus	elder	charlie	war	africa	pages	research	session	darling	search	conference	facebook	omg	difficult	mentioned	released	till	writes	radio	recent	hell	disease	trust	george	bill	review	google	current	grandma	members	president	michael	dj	author	wanna	study	dr	hehe	release	community	sold	color	gifts	davis	design	eventually	technology	suppose	report	university	national	apartment	article	presented	restaurant	honestly	french	challenge	youtube	character	scott	guitar	america	santa	file	previous	west	culture	easter	folks	miles	media	bike	annie	goal	yard	collection	station	issues	copy	south	el	police	sharing	blogs	similar	surgery	blessed	prayer	presentation	aunt	grace	program	software	mama	dont	heat	truck	film	hip	singapore	mood	king	results	training	lights	mail	image	dogs	babies	response	award	hop	machine	government	states	performance	david	flight	action	sea	sale	mission	grateful	bear	speaking	kate	scene	shit	tracks	families	brothers	october	built	crowd	im	links	blogspot	allowed	projects	interest	health	pic	tea	details	race	thanksgiving	concert	practice	camp	issue	purpose	tim	suddenly	events	writer	ball	ha	september	bags	success	candy	build	dropped	crying	york	images	halloween	cheese	common	gorgeous	result	hubby	tickets	ah	figured	malaysia	van	reminded	african	dave	comfortable	san	inspired	literally	million	items	society	org	gotta	river	yummy	football	drew	cross	popular	london	favourite	musical	north	flowers	named	painting	chris	bathroom	]	wide	cost	vacation	paint	expected	resources	nap	points	hall	forgotten	activities	november	source	airport	path	asleep	hearing	holy	huh	mad	comfort	shared	mountain	text	secret	covered	meal	progress	winner	bands	board	access	mess	possibly	shots	january	routine	fully	strength	continued	dan	originally	katie	christian	science	hadn	videos	slightly	reach	include	joined	delicious	lazy	describe	credit	chase	fat	changing	freedom	feelings	falling	lines	chose	accept	provide	checked	teaching	taught	skin	block	discovered	empty	pre	characters	island	kit	slept	classes	buying	visited	label	adventure	studio	jack	notes	tag	hahaha	cd	blast	related	lake	worried	blame	closed	barely	attended	legs	zone	crew	knowledge	quote	html	hill	member	lessons	sigh	teeth	application	manage	marriage	happiness	code	natural	glass	fashion	push	prepared	papers	prayers	extremely	lesson	background	pants	positive	ladies	los	festival	broke	checking	doubt	angry	east	hearts	letters	tend	steps	gold	attempt	rich	effect	thinks	twitter	couch	direction	desire	fans	student	swimming	beer	losing	chair	product	robert	seconds	handle	rules	subject	grade	readers	recorded	sugar	tom	presents	force	grand	friendly	storm	included	teach	schedule	jazz	term	fingers	visiting	joe	audience	returned	scary	oil	goodness	development	press	united	hungry	cousin	agree	county	political	animals	lie	wet	milk	uncle	respect	model	feed	driver	sight	cookies	artist	career	incredible	official	em	ends	passion	pack	mum	classic	shoot	topic	ma	material	hero	tools	traditional	attend	recipe	eve	familiar	bruce	grandpa	ft	cleaning	photography	shouldn	grab	farm	dry	position	fix	stars	department	key	fuck	bath	ass	ben	greatest	plenty	bread	contest	heading	para	dressed	sex	screen	february	lyrics	singer	pair	garage	soft	awhile	answers	laptop	rare	celebration	hmm
Some disagree with Mom	1	1	0	6	5	0	20	0	2	0	25	0	0	1	2	0	11	4	0	0	2	2	1	0	0	1	0	1	0	10	0	1	3	5	0	0	0	1	2	1	1	0	0	1	1	1	16	0	12	1	0	7	0	2	1	2	1	3	4	3	1	3	5	0	10	3	7	0	0	2	7	2	0	1	8	3	10	0	2	1	21	0	3	3	8	4	0	2	1	0	0	0	2	2	0	3	5	4	2	0	5	10	1	7	24	7	2	0	0	4	23	3	0	4	0	9	1	2	0	4	9	3	5	8	1	1	9	5	1	2	0	10	0	0	0	0	3	4	3	0	7	4	3	3	0	2	0	2	2	6	0	2	12	3	3	0	9	5	8	0	4	2	2	0	18	9	3	6	4	3	1	4	0	7	0	9	5	0	7	0	1	9	17	6	0	2	3	86	6	2	1	3	1	3	2	2	0	4	2	0	9	0	1	2	4	10	4	0	1	0	1	0	1	3	1	1	11	4	1	1	0	2	6	2	1	9	0	1	1	28	1	3	0	2	20	13	2	1	0	2	0	4	3	3	0	3	4	2	1	10	2	2	15	2	1	8	3	5	28	0	2	2	2	3	0	1	9	1	1	1	1	3	4	8	3	0	9	0	1	1	7	2	2	0	5	0	5	2	4	5	3	4	1	6	2	1	4	4	2	2	3	1	1	5	5	6	8	4	5	1	1	2	1	0	0	8	0	0	0	0	22	0	3	0	1	2	0	0	2	0	4	37	0	3	4	14	13	4	0	3	2	0	0	7	7	5	1	1	1	1	14	0	0	2	9	0	0	3	1	18	2	1	4	0	1	5	0	7	3	1	4	4	14	0	1	4	8	4	2	0	2	1	0	0	3	0	0	3	2	1	1	1	1	1	1	3	1	2	2	1	0	3	22	1	1	0	41	7	7	1	6	1	4	1	8	3	3	11	3	7	0	0	0	1	6	0	2	2	4	4	5	7	2	0	3	1	4	2	8	1	0	0	0	1	1	0	5	1	0	0	4	0	3	0	1	1	7	13	1	2	6	3	0	0	0	2	2	1	0	2	7	1	1	1	1	0	0	0	0	1	11	1	2	0	0	0	10	6	3	0	1	1	11	2	17	0	0	2	3	1
smile like you mean it	0	0	5	0	0	0	7	0	1	6	1	1	0	0	2	21	0	0	0	1	0	0	0	0	0	4	1	0	1	2	1	0	0	2	0	0	2	0	0	0	4	0	0	0	0	2	0	0	2	1	0	0	0	3	1	6	0	0	0	0	0	0	0	7	2	1	0	0	1	3	1	1	0	1	2	1	2	3	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	1	1	1	1	0	1	0	0	10	0	1	0	15	1	1	1	1	2	1	1	1	1	1	7	4	1	0	1	1	0	2	0	2	0	0	0	0	5	0	2	0	0	0	2	3	1	0	1	2	3	0	0	1	1	0	0	0	0	0	0	0	1	1	10	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	3	0	1	15	0	0	8	2	3	2	1	0	2	2	0	0	0	4	25	0	4	0	8	1	4	3	0	0	5	2	0	0	0	1	1	0	2	0	0	1	0	2	1	0	1	0	1	1	1	0	10	0	10	0	0	0	0	0	0	1	3	10	3	0	1	2	0	1	0	1	5	1	0	1	1	0	1	0	4	0	0	1	2	0	0	4	7	0	2	4	0	2	2	1	0	0	0	0	0	2	4	2	0	0	0	0	0	0	0	1	0	1	2	0	0	1	3	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	5	1	4	0	0	1	1	2	1	0	0	1	0	4	4	0	0	0	2	1	2	1	0	8	1	5	2	0	1	1	1	1	0	1	1	2	0	0	0	3	0	2	1	1	0	2	0	1	0	1	2	0	0	3	0	6	1	8	1	3	0	0	4	1	2	0	1	0	0	1	1	1	0	0	0	1	0	3	0	0	0	0	8	0	1	1	0	0	2	1	2	2	5	0	0	2	3	2	0	1	0	0	2	1	1	0	0	0	1	0	0	1	3	0	0	0	0	0	0	3	0	0	0	2	3	0	2	3	1	0	1	2	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	2	2	0	0	0	1	3	0	2	0	2	0	1	0	10	3	3	2	1	0	0	5	0	0	1	0	0	1	7	1	0	1	0	0	0	0
Melvin and Elise	0	0	0	4	1	0	9	0	0	0	8	0	0	0	7	0	2	4	0	1	1	0	0	0	0	1	1	2	1	10	0	0	3	0	1	0	0	0	0	0	0	0	2	2	0	6	0	0	5	1	0	1	0	1	2	0	0	0	0	1	4	0	0	14	0	5	0	0	1	0	0	1	0	0	0	0	3	3	0	1	0	1	0	1	0	2	0	1	1	4	1	0	3	0	0	1	0	0	0	1	1	0	0	5	5	3	0	6	0	0	17	0	0	1	0	1	0	2	3	0	0	1	7	5	0	4	1	3	0	4	0	4	3	0	2	0	0	0	0	1	1	3	1	0	4	2	3	4	1	0	0	2	1	0	0	1	1	0	11	1	1	0	1	0	0	1	4	2	2	0	0	0	1	3	2	2	0	0	1	0	1	3	1	4	20	0	1	0	2	4	0	3	0	0	1	1	2	2	1	4	0	0	5	0	1	0	0	0	2	0	3	0	6	3	0	0	0	3	0	4	0	0	3	0	1	0	1	1	1	1	1	0	0	1	0	11	0	5	36	2	0	1	1	9	4	1	2	0	0	0	1	5	0	0	1	1	0	0	0	0	2	1	4	1	1	2	2	5	0	4	0	2	0	1	1	3	5	0	0	1	1	1	0	1	1	3	2	0	0	0	0	3	2	1	1	1	4	1	1	0	2	0	2	1	0	1	2	1	7	2	0	0	0	0	2	0	0	0	0	0	4	1	4	0	0	0	4	0	0	0	0	5	3	1	1	0	6	6	0	1	0	4	0	2	2	1	1	7	0	0	1	7	0	2	0	1	2	0	0	7	0	0	1	2	5	9	0	0	3	0	0	1	0	1	0	0	1	1	0	2	1	4	0	0	0	0	1	0	1	0	0	3	0	0	5	1	1	4	4	0	0	1	3	1	0	3	1	1	1	4	1	0	0	1	1	6	0	3	1	0	1	0	0	0	0	0	3	0	0	2	0	5	2	1	1	0	1	3	0	0	0	1	2	0	1	1	0	3	0	0	1	0	0	0	0	4	1	0	1	0	1	17	7	2	1	0	1	0	3	2	2	2	1	1	4	0	0	0	0	2	0	1	1	0	0	2	0	0	1	0	0	3	0	1	0	0	0	0	1	0
Koranteng's Toli	436	0	4	78	124	291	30	0	4	0	11	0	87	14	22	0	81	43	225	21	46	30	25	13	23	2	31	89	42	6	16	65	120	36	46	80	11	12	214	453	46	34	9	3	60	16	1	0	47	27	26	4	26	66	137	48	17	18	68	54	52	95	118	5	30	165	39	14	26	10	39	17	0	35	91	20	19	5	39	138	53	282	81	49	28	53	69	70	12	17	0	135	27	5	36	48	34	109	0	190	38	123	164	2	76	66	60	2	3	19	2	45	57	99	51	115	14	42	33	18	65	8	10	4	29	23	14	33	275	18	1	20	8	50	91	2	62	57	36	14	41	46	59	6	12	98	6	91	25	90	59	62	31	37	53	14	7	16	4	27	26	0	56	5	30	19	23	6	47	31	1	47	0	17	8	57	53	4	18	27	26	3	39	32	23	91	22	11	8	31	27	13	1	23	127	34	21	46	18	8	67	36	3	13	50	1	35	0	9	13	16	2	17	36	282	9	20	19	30	20	70	35	92	2	8	26	0	45	11	45	56	154	74	124	25	1	42	3	26	2	22	42	33	5	9	21	49	0	47	18	17	6	17	71	25	23	6	30	18	7	12	83	25	8	38	24	17	6	36	10	12	18	19	17	16	1	15	16	43	12	35	3	7	0	13	31	29	7	45	29	18	14	25	12	21	87	15	13	34	51	4	33	31	12	7	45	10	6	14	34	16	21	10	27	40	22	1	4	6	19	2	26	7	15	13	92	69	0	23	6	16	1	26	32	16	48	13	4	24	35	42	30	97	10	12	39	9	32	92	25	16	53	119	19	12	44	27	17	24	2	5	33	38	4	9	12	6	2	17	19	26	12	41	8	18	51	26	53	30	57	66	10	2	8	41	13	13	17	0	10	22	19	93	35	9	46	19	35	2	22	20	11	27	11	45	43	15	3	12	10	9	159	46	7	7	28	85	34	9	70	7	98	45	66	11	32	18	2	134	8	22	6	7	34	44	45	25	34	37	0	39	31	1	22	8	39	13	9	19	24	4	40	13	39	9	30	51	13	3	8	17	7	3	13	8	10	38	7	9	9	25	25	21	36	42	0	1	5	20	34	10	14	10	21	0	12	28	16	13	44	27	4	5	8	2	10	21	34	19	11
The Devil's Music	15	1	9	52	266	126	1	4	0	1	2	0	2	17	8	7	35	15	3	3	172	1	0	249	1	1	1	5	6	0	4	158	1	19	1	6	1	16	15	5	2	0	18	1	5	0	2	0	0	3	95	4	2	34	6	15	2	0	22	28	7	3	4	1	45	4	12	7	1	7	1	1	0	31	2	14	3	0	13	0	6	0	1	0	5	11	0	9	0	0	1	17	1	3	3	4	141	3	3	7	5	17	4	1	11	7	2	1	2	0	2	7	13	0	15	14	2	3	0	1	5	1	0	0	0	0	5	2	0	9	0	12	8	5	2	0	0	31	3	0	1	2	2	8	6	3	2	3	6	1	15	7	17	3	11	1	6	0	1	6	1	0	21	52	29	0	55	15	3	3	2	2	0	3	2	7	1	2	2	1	1	4	3	4	1	3	1	5	0	3	3	11	2	14	3	31	9	1	4	5	47	0	11	1	1	0	6	0	0	0	0	0	19	1	4	22	0	13	9	1	17	2	3	2	7	28	3	0	1	7	24	7	1	29	4	0	13	1	11	1	43	2	1	0	0	0	0	1	2	26	2	0	6	1	0	1	0	2	6	4	7	0	3	7	0	2	17	1	0	4	32	4	1	1	2	2	10	1	1	0	19	10	20	1	1	4	1	2	9	8	9	24	2	3	0	4	2	7	2	1	0	1	4	2	0	0	0	0	1	1	0	9	3	8	0	15	0	1	0	6	0	128	1	26	12	5	3	0	11	3	9	1	0	1	2	0	6	0	0	1	2	0	0	11	41	2	3	1	0	1	1	1	0	0	0	1	4	0	2	0	2	0	7	1	3	2	27	6	6	0	1	3	12	11	0	1	2	4	1	9	1	1	0	0	0	3	6	2	0	14	0	2	1	27	3	1	5	4	9	1	112	4	13	2	9	12	0	8	33	0	0	31	0	0	0	34	3	7	0	0	1	2	2	14	1	4	1	5	1	2	3	4	5	2	3	0	3	4	1	0	10	30	0	3	3	4	0	2	0	18	3	1	6	10	3	0	6	2	0	2	4	12	0	0	4	1	3	1	3	1	2	1	8	1	7	20	2	7	3	5	3	4	6	0	2	1	6	0	11	9	61	4	29	1	1	1	0	41	1	0
Buckaroo's Bazaar	21	0	0	0	3	1	0	0	0	0	0	0	9	0	0	1	2	5	5	12	0	1	0	1	0	0	14	0	0	0	0	3	2	0	4	0	0	0	2	0	3	0	4	0	6	1	2	0	5	0	5	4	0	3	3	0	0	0	2	50	0	2	9	1	3	1	2	0	0	0	7	0	0	2	0	2	3	1	1	5	0	5	0	4	0	5	2	3	4	0	1	1	7	0	16	1	1	5	1	4	5	6	0	1	2	1	6	0	0	2	4	3	4	3	0	7	0	0	3	0	3	1	0	0	2	0	1	4	1	0	0	0	11	38	0	0	0	0	1	2	0	20	23	2	0	1	0	0	1	0	0	7	1	1	21	0	12	8	1	0	0	0	2	0	1	2	0	3	1	0	0	2	5	7	2	9	2	0	0	10	3	0	0	2	1	3	2	0	1	2	0	0	0	1	0	2	0	3	0	0	4	26	7	0	1	0	1	0	1	0	4	0	0	0	0	0	4	5	0	0	4	4	4	2	0	3	0	0	2	0	1	0	0	0	6	0	0	2	0	0	15	2	3	1	0	1	1	0	1	2	2	2	7	3	0	3	0	1	0	0	0	2	2	3	3	1	1	0	10	2	0	6	7	3	0	2	2	0	1	0	4	3	1	1	0	8	7	4	4	0	0	1	0	1	0	0	1	0	1	0	0	2	1	1	1	4	2	0	0	1	0	2	1	2	12	3	0	0	0	0	0	0	4	2	2	3	0	0	1	2	3	1	1	0	4	2	1	2	1	6	3	1	2	0	3	0	2	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	1	2	1	0	5	1	2	5	2	0	1	0	11	3	2	2	2	0	2	0	0	0	2	3	2	1	0	0	2	0	1	1	1	0	0	5	1	2	1	0	1	0	2	1	2	3	0	0	3	0	3	6	2	3	2	4	0	0	0	0	2	2	1	1	1	4	0	0	0	0	0	1	1	2	1	0	2	0	3	1	1	1	0	1	0	0	0	2	2	0	0	0	2	2	1	5	0	0	3	0	0	0	1	4	1	0	1	0	1	9	0	0	3	0	2	0	0	1	6	1	2	10	0	0	0	4	1	0	0	0	8	0	0	2	0	2	0	0
"Princess and Daughter of the King"	0	0	0	0	0	0	6	1	0	0	5	0	0	0	16	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	1	3	0	1	1	0	0	0	2	3	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	2	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	7	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0
Elder Jordan Troxel	3	0	0	0	0	1	1	0	3	3	4	0	0	0	23	0	0	21	1	0	3	1	0	2	0	0	2	27	24	25	0	5	27	2	0	23	499	0	4	1	1	1	3	0	6	66	0	0	10	11	2	3	1	0	17	0	1	4	0	1	0	7	3	4	37	90	27	0	0	1	10	1	0	2	0	0	0	1	0	0	9	6	5	10	0	2	33	2	0	2	4	1	1	1	1	22	1	1	0	0	2	16	8	5	0	4	0	18	0	14	3	0	4	3	4	2	0	2	3	0	3	7	7	8	0	2	1	1	0	0	1	0	0	0	0	112	0	1	1	63	0	17	0	2	1	5	0	1	8	2	5	0	4	17	0	0	1	151	10	5	33	0	0	0	0	8	0	2	6	2	2	0	1	6	0	3	4	0	1	6	2	1	0	1	0	3	1	0	1	1	1	3	0	4	1	12	2	2	4	1	0	3	0	2	3	3	3	0	3	6	3	95	2	1	0	0	2	3	0	4	2	0	0	3	10	6	0	33	3	2	0	2	0	0	6	1	32	0	0	2	1	1	9	1	5	1	0	0	6	6	5	1	2	0	16	6	3	7	6	2	5	1	3	3	0	1	3	12	8	0	0	1	0	2	7	1	12	0	1	3	7	6	2	1	1	0	10	12	1	2	2	0	21	1	4	0	0	24	4	1	2	2	3	3	1	1	7	40	22	2	5	2	2	1	0	3	0	3	4	1	1	0	1	0	1	7	1	2	2	7	2	6	7	1	1	12	1	2	141	0	2	3	0	7	28	21	0	0	3	1	1	1	0	1	2	0	5	4	3	27	23	18	2	6	2	1	1	0	6	3	7	2	21	0	27	1	0	5	0	0	4	1	0	0	1	3	1	0	1	1	2	2	1	1	3	6	2	2	0	0	1	1	0	0	1	2	0	1	5	42	3	3	2	2	5	0	0	1	3	0	1	1	0	1	1	3	3	1	0	1	3	3	4	5	0	0	3	7	4	1	0	3	17	6	0	6	0	4	1	0	5	1	1	1	0	0	4	3	0	4	4	0	4	0	4	0	4	7	0	4	1	3	0	1	1	0	0	0	1	1	3	0	1	1	0	1	0	1	25	0	1	5	0	1	15	4	2	3	1	0
Mr. Crohn's	4	0	1217	1	4	7	484	0	0	3	446	1	0	1	9	0	0	1	4	0	2	2	0	0	2	2	3	1	0	35	4	1	4	2	2	1	0	14	5	0	5	0	0	0	7	0	2	0	8	0	0	6	403	4	2	27	404	3	2	4	0	2	3	0	0	0	0	0	0	14	4	0	1	1	8	0	5	2	0	1	3	0	3	0	2	2	2	1	0	3	27	5	2	1	3	2	11	9	0	1	2	6	4	0	0	3	1	15	0	8	1	2	13	2	0	2	0	0	3	10	1	1	10	11	1	0	27	2	0	1	1	5	1	0	1	0	2	5	5	2	6	8	1	3	3	6	0	1	13	3	3	0	5	3	18	9	1	5	3	5	2	0	1	5	2	1	12	0	6	0	0	0	0	1	1	3	1	0	0	3	1	2	1	5	0	5	35	0	5	2	0	0	9	0	3	1	0	9	5	21	2	0	0	3	6	0	0	0	0	0	7	0	3	3	1	0	15	5	6	5	1	0	8	0	11	3	0	1	1	9	3	0	0	1	2	1	2	3	5	1	0	3	1	2	4	4	1	3	4	3	3	0	1	1	0	1	19	2	11	2	12	11	0	5	0	20	5	1	0	1	0	4	2	10	3	1	0	0	14	4	1	3	1	0	18	3	1	1	4	3	1	0	1	28	8	1	1	5	9	7	21	17	3	3	10	1	2	1	6	15	3	4	10	0	1	1	0	9	2	2	0	6	4	0	11	1	0	3	5	2	1	1	13	14	1	4	0	6	0	0	5	7	1	7	0	1	2	5	2	1	1	16	1	3	11	2	11	3	1	9	6	4	2	9	2	1	0	1	10	3	7	14	1	17	5	3	3	1	17	11	0	13	1	4	1	5	0	11	2	8	9	4	0	0	8	5	0	5	4	1	0	2	1	6	4	4	0	7	4	4	2	2	5	10	1	2	2	2	1	1	1	1	1	5	5	0	9	0	0	0	9	4	7	2	3	1	2	1	3	1	1	1	0	0	5	8	13	6	0	2	9	1	0	6	1	0	1	2	0	2	2	0	0	1	0	0	16	9	0	4	3	23	9	0	4	0	1	2	4	21	1	0	0	1	0	4	3	3	0	1	0	2	3	3	3	33	1	0	0	1
bogus data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOUNGEST INDIE	1	2	1	5	150	127	0	0	0	3	0	0	0	1	1	24	4	21	0	4	16	1	1	14	1	1	1	2	0	0	4	9	0	22	0	3	0	0	1	0	0	5	2	2	1	0	1	10	5	1	7	0	0	32	1	1	0	1	0	3	3	5	2	0	3	1	3	13	0	9	0	1	1	7	1	26	9	1	0	16	4	0	0	0	2	2	0	1	4	3	18	3	0	8	3	4	21	4	10	0	7	4	12	0	2	2	1	1	0	1	0	12	9	1	5	2	23	3	2	5	1	2	0	0	1	0	0	0	0	1	0	44	9	18	0	0	15	5	1	0	9	1	1	3	0	0	0	0	1	0	4	19	4	0	4	19	12	1	0	1	4	2	6	0	3	0	5	8	2	48	1	1	1	6	6	0	3	3	0	3	0	4	10	0	1	4	1	6	1	9	1	4	0	6	2	3	0	1	0	5	1	0	9	1	1	16	0	0	42	1	6	0	0	4	0	0	1	3	15	19	1	2	0	1	6	1	7	2	14	0	3	3	0	3	2	3	0	2	4	4	0	3	2	6	2	3	0	2	3	0	1	2	6	3	0	0	1	12	1	0	12	1	2	5	0	6	1	0	0	0	64	0	0	7	0	10	13	1	1	2	2	1	1	0	2	2	8	15	5	0	1	2	9	2	1	2	2	0	1	0	1	7	7	9	2	0	12	1	0	3	8	7	5	4	6	3	1	1	0	8	0	3	3	10	1	0	0	1	9	3	6	1	4	7	7	4	1	2	1	3	0	0	1	2	1	0	13	0	0	1	0	2	1	1	3	47	3	1	0	1	2	1	5	13	1	1	34	39	1	9	2	1	1	1	1	2	1	7	0	0	0	0	5	1	7	0	43	2	0	3	1	0	0	0	2	1	1	1	1	0	3	1	2	3	2	6	6	1	1	0	6	1	1	1	2	3	2	3	1	0	10	0	0	0	5	0	3	0	0	0	2	4	1	0	2	2	0	0	1	2	10	4	5	6	3	2	3	10	0	2	6	2	2	4	1	0	2	3	1	7	7	0	0	0	1	5	2	8	0	2	1	1	7	2	9	0	0	3	5	3	6	0	2	1	0	19	2	4	8	13	4	3	5	8	0	1	0	0	1	2
our life with a, b, c, & d	1	3	0	1	1	0	0	5	0	4	0	2	0	84	0	142	2	0	1	1	1	0	0	0	4	1	1	1	0	1	0	1	0	0	5	0	0	0	0	0	1	0	6	0	1	0	1	0	4	0	0	1	1	0	3	0	0	0	0	17	0	0	1	68	1	1	2	0	0	0	0	27	0	1	0	1	7	25	0	0	9	0	5	1	0	0	0	0	0	2	3	1	0	0	0	0	0	0	14	0	0	0	0	23	0	1	0	9	8	1	11	0	0	4	2	1	1	0	0	0	1	7	7	0	0	22	0	0	0	64	0	0	4	0	0	0	3	2	0	5	13	3	0	6	10	1	3	3	1	0	4	0	0	0	1	0	3	0	0	14	1	1	0	0	0	0	0	2	1	0	0	0	1	2	10	1	1	85	0	3	0	13	0	3	5	0	0	0	2	0	0	7	16	8	2	2	7	2	3	22	0	0	12	26	1	0	1	4	0	3	8	0	0	0	0	1	0	0	0	3	0	3	0	0	6	0	26	3	0	3	0	0	0	1	2	6	1	19	0	5	0	3	0	14	16	1	0	64	0	1	0	9	0	0	0	2	14	0	2	0	0	0	0	0	0	1	2	4	1	0	0	1	0	4	2	12	2	10	0	0	2	3	0	0	0	2	2	2	0	3	2	4	2	5	1	0	0	1	3	0	0	4	0	7	0	0	7	0	0	1	1	2	2	1	3	0	0	18	0	6	12	0	2	0	0	0	2	1	4	4	0	3	1	1	1	4	0	8	0	0	0	0	0	4	1	20	1	9	0	1	0	0	0	1	1	1	12	0	1	0	5	8	2	1	2	0	0	1	1	9	3	5	0	4	9	2	5	0	4	0	0	2	0	7	1	0	0	0	40	0	1	8	0	1	5	1	0	1	2	0	0	6	1	15	2	0	4	2	1	0	16	0	0	17	9	2	0	2	4	1	7	0	0	0	6	2	1	0	0	10	0	4	12	13	0	1	9	0	1	11	2	0	0	3	2	3	0	8	0	0	13	0	0	0	0	3	3	0	3	12	2	0	55	0	5	5	1	1	3	7	0	1	1	0	6	0	39	0	1	0	4	5	2	2	4	6	1	0	2	0	0	1	2	4	0	0	2	0	2	0
